constructorStandingsId,raceId,constructorId,points,position,positionText,wins
140,13.0,61,0.0,6,6,0
141,13.0,4,0.0,7,7,0
142,13.0,62,0.0,8,8,0
143,13.0,54,0.0,9,9,0
144,13.0,63,0.0,10,10,0
145,13.0,46,0.0,11,11,0
146,13.0,64,0.0,12,12,0
147,14.0,56,34.0,1,1,3
148,14.0,6,28.0,2,2,2
149,14.0,33,18.0,3,3,1
150,14.0,55,3.0,4,4,0
151,14.0,61,0.0,5,5,0
152,14.0,57,0.0,6,6,0
153,14.0,4,0.0,7,7,0
154,14.0,62,0.0,8,8,0
155,14.0,54,0.0,9,9,0
156,14.0,63,0.0,10,10,0
157,14.0,46,0.0,11,11,0
158,14.0,64,0.0,12,12,0
159,15.0,56,38.0,1,1,4
160,15.0,6,32.0,2,2,2
161,15.0,33,18.0,3,3,1
162,15.0,55,3.0,4,4,0
163,15.0,61,0.0,5,5,0
164,15.0,57,0.0,6,6,0
165,15.0,4,0.0,7,7,0
166,15.0,62,0.0,8,8,0
167,15.0,54,0.0,9,9,0
168,15.0,63,0.0,10,10,0
169,15.0,46,0.0,11,11,0
170,15.0,64,0.0,12,12,0
171,,56,40.0,1,1,5
172,,6,32.0,2,2,2
173,,33,18.0,3,3,1
174,,55,5.0,4,4,0
175,,61,0.0,5,5,0
176,,57,0.0,6,6,0
177,,9,0.0,7,7,0
178,,54,0.0,8,8,0
179,,4,0.0,9,9,0
180,,62,0.0,10,10,0
181,,65,0.0,11,11,0
182,,66,0.0,12,12,0
183,,40,0.0,13,13,0
184,,63,0.0,14,14,0
185,,46,0.0,15,15,0
186,,64,0.0,16,16,0
187,16.0,56,8.0,1,1,1
188,16.0,6,6.0,2,2,0
189,16.0,57,3.0,3,3,0
190,16.0,55,1.0,4,4,0
191,16.0,33,0.0,5,5,0
192,16.0,67,0.0,6,6,0
193,16.0,4,0.0,7,7,0
194,17.0,56,14.0,1,1,1
195,17.0,6,10.0,2,2,0
196,17.0,55,9.0,3,3,1
197,17.0,57,3.0,4,4,0
198,17.0,33,2.0,5,5,0
199,17.0,67,0.0,6,6,0
200,17.0,4,0.0,7,7,0
201,17.0,63,0.0,8,8,0
202,17.0,68,0.0,9,9,0
203,17.0,69,0.0,10,10,0
204,18.0,56,14.0,1,1,1
205,18.0,6,10.0,2,2,0
206,18.0,55,9.0,3,3,1
207,18.0,57,3.0,4,4,0
208,18.0,33,2.0,5,5,0
209,18.0,67,0.0,6,6,0
210,18.0,4,0.0,7,7,0
211,18.0,63,0.0,8,8,0
212,18.0,68,0.0,9,9,0
213,18.0,69,0.0,10,10,0
214,19.0,56,22.0,1,1,2
215,19.0,55,15.0,2,2,1
216,19.0,6,12.0,3,3,0
217,19.0,33,6.0,4,4,0
218,19.0,57,3.0,5,5,0
219,19.0,67,0.0,6,6,0
220,19.0,4,0.0,7,7,0
221,19.0,61,0.0,8,8,0
222,19.0,63,0.0,9,9,0
223,19.0,68,0.0,10,10,0
224,19.0,69,0.0,11,11,0
225,20.0,56,30.0,1,1,3
226,20.0,55,17.0,2,2,1
227,20.0,6,15.0,3,3,0
228,20.0,33,6.0,4,4,0
229,20.0,57,3.0,5,5,0
230,20.0,67,0.0,6,6,0
231,20.0,4,0.0,7,7,0
232,20.0,68,0.0,8,8,0
233,20.0,61,0.0,9,9,0
234,20.0,63,0.0,10,10,0
235,20.0,69,0.0,11,11,0
236,21.0,56,38.0,1,1,4
237,21.0,55,19.0,2,2,1
238,21.0,6,15.0,3,3,0
239,21.0,33,6.0,4,4,0
240,21.0,57,3.0,5,5,0
241,21.0,67,0.0,6,6,0
242,21.0,4,0.0,7,7,0
243,21.0,68,0.0,8,8,0
244,21.0,69,0.0,9,9,0
245,21.0,61,0.0,10,10,0
246,21.0,46,0.0,11,11,0
247,21.0,63,0.0,12,12,0
248,22.0,56,46.0,1,1,5
249,22.0,55,25.0,2,2,1
250,22.0,6,16.0,3,3,0
251,22.0,33,6.0,4,4,0
252,22.0,57,3.0,5,5,0
253,22.0,61,0.0,6,6,0
254,22.0,67,0.0,7,7,0
255,22.0,4,0.0,8,8,0
256,22.0,63,0.0,9,9,0
257,22.0,69,0.0,10,10,0
258,22.0,68,0.0,11,11,0
259,22.0,46,0.0,12,12,0
260,23.0,56,48.0,1,1,6
261,23.0,55,28.0,2,2,1
262,23.0,6,19.0,3,3,0
263,23.0,33,6.0,4,4,0
264,23.0,57,3.0,5,5,0
265,23.0,61,0.0,6,6,0
266,23.0,67,0.0,7,7,0
267,23.0,4,0.0,8,8,0
268,23.0,63,0.0,9,9,0
269,23.0,69,0.0,10,10,0
270,23.0,68,0.0,11,11,0
271,23.0,46,0.0,12,12,0
272,,56,48.0,1,1,6
273,,55,28.0,2,2,1
274,,6,26.0,3,3,1
275,,33,6.0,4,4,0
276,,57,3.0,5,5,0
277,,69,3.0,6,6,0
278,,54,1.0,7,7,0
279,,67,0.0,8,8,0
280,,61,0.0,9,9,0
281,,4,0.0,10,10,0
282,,63,0.0,11,11,0
283,,68,0.0,12,12,0
284,,46,0.0,13,13,0
285,,56,48.0,1,1,6
286,,55,34.0,2,2,2
287,,6,26.0,3,3,1
288,,33,8.0,4,4,0
289,,57,3.0,5,5,0
290,,69,3.0,6,6,0
291,,54,1.0,7,7,0
292,,67,0.0,8,8,0
293,,68,0.0,9,9,0
294,,61,0.0,10,10,0
295,,4,0.0,11,11,0
296,,63,0.0,12,12,0
297,,46,0.0,13,13,0
298,24.0,71,9.0,1,1,1
299,24.0,6,6.0,2,2,0
300,24.0,54,2.0,3,3,0
301,24.0,56,1.0,4,4,0
302,24.0,57,0.0,5,5,0
303,24.0,33,0.0,6,6,0
304,24.0,52,0.0,7,7,0
305,25.0,6,15.0,1,1,1
306,25.0,71,13.0,2,2,1
307,25.0,54,2.0,3,3,0
308,25.0,56,2.0,4,4,0
309,25.0,57,0.0,5,5,0
310,25.0,33,0.0,6,6,0
311,25.0,52,0.0,7,7,0
312,26.0,6,24.0,1,1,2
313,26.0,71,13.0,2,2,1
314,26.0,56,4.0,3,3,0
315,26.0,54,3.0,4,4,0
316,26.0,57,0.0,5,5,0
317,26.0,33,0.0,6,6,0
318,26.0,52,0.0,7,7,0
319,27.0,6,33.0,1,1,3
320,27.0,71,17.0,2,2,1
321,27.0,54,9.0,3,3,0
322,27.0,56,6.0,4,4,0
323,27.0,33,1.0,5,5,0
324,27.0,57,0.0,6,6,0
325,27.0,52,0.0,7,7,0
326,27.0,72,0.0,8,8,0
327,27.0,63,0.0,9,9,0
328,28.0,6,42.0,1,1,4
329,28.0,71,17.0,2,2,1
330,28.0,54,11.0,3,3,0
331,28.0,56,9.0,4,4,0
332,28.0,33,1.0,5,5,0
333,28.0,57,0.0,6,6,0
334,28.0,73,0.0,7,7,0
335,28.0,52,0.0,8,8,0
336,28.0,72,0.0,9,9,0
337,28.0,63,0.0,10,10,0
338,29.0,6,42.0,1,1,4
339,29.0,71,26.0,2,2,2
340,29.0,54,11.0,3,3,0
341,29.0,56,10.0,4,4,0
342,29.0,33,1.0,5,5,0
343,29.0,57,0.0,6,6,0
344,29.0,73,0.0,7,7,0
345,29.0,52,0.0,8,8,0
346,29.0,72,0.0,9,9,0
347,29.0,75,0.0,10,10,0
348,29.0,63,0.0,11,11,0
349,30.0,6,45.0,1,1,5
350,30.0,71,26.0,2,2,2
351,30.0,54,17.0,3,3,0
352,30.0,56,13.0,4,4,0
353,30.0,33,3.0,5,5,0
354,30.0,57,0.0,6,6,0
355,30.0,73,0.0,7,7,0
356,30.0,76,0.0,8,8,0
357,30.0,77,0.0,9,9,0
358,30.0,52,0.0,10,10,0
359,30.0,72,0.0,11,11,0
360,30.0,63,0.0,12,12,0
361,30.0,75,0.0,13,13,0
362,31.0,6,45.0,1,1,5
363,31.0,71,35.0,2,2,3
364,31.0,54,22.0,3,3,0
365,31.0,56,14.0,4,4,0
366,31.0,33,7.0,5,5,0
367,31.0,57,0.0,6,6,0
368,31.0,73,0.0,7,7,0
369,31.0,76,0.0,8,8,0
370,31.0,77,0.0,9,9,0
371,31.0,52,0.0,10,10,0
372,31.0,72,0.0,11,11,0
373,31.0,63,0.0,12,12,0
374,31.0,75,0.0,13,13,0
375,33.0,33,9.0,1,1,1
376,33.0,71,6.0,2,2,0
377,33.0,6,4.0,3,3,0
378,33.0,56,2.0,4,4,0
379,33.0,54,1.0,5,5,0
380,33.0,52,0.0,6,6,0
381,33.0,78,0.0,7,7,0
382,34.0,56,11.0,1,1,1
383,34.0,33,10.0,2,2,1
384,34.0,6,10.0,3,3,0
385,34.0,71,6.0,4,4,0
386,34.0,78,3.0,5,5,0
387,34.0,54,3.0,6,6,0
388,34.0,52,0.0,7,7,0
389,34.0,79,0.0,8,8,0
390,34.0,77,0.0,9,9,0
391,35.0,33,16.0,1,1,1
392,35.0,71,15.0,2,2,1
393,35.0,6,14.0,3,3,0
394,35.0,56,11.0,4,4,1
395,35.0,78,5.0,5,5,0
396,35.0,54,3.0,6,6,0
397,35.0,52,0.0,7,7,0
398,35.0,79,0.0,8,8,0
399,35.0,77,0.0,9,9,0
400,36.0,33,20.0,1,1,1
401,36.0,56,17.0,2,2,1
402,36.0,71,15.0,3,3,1
403,36.0,6,14.0,4,4,0
404,36.0,54,12.0,5,5,1
405,36.0,78,7.0,6,6,0
406,36.0,8,0.0,7,7,0
407,36.0,79,0.0,8,8,0
408,36.0,52,0.0,9,9,0
409,36.0,55,0.0,10,10,0
410,36.0,77,0.0,11,11,0
411,37.0,71,24.0,1,1,2
412,37.0,33,23.0,2,2,1
413,37.0,56,21.0,3,3,1
414,37.0,6,14.0,4,4,0
415,37.0,78,13.0,5,5,0
416,37.0,54,12.0,6,6,1
417,37.0,52,0.0,7,7,0
418,37.0,8,0.0,8,8,0
419,37.0,79,0.0,9,9,0
420,37.0,55,0.0,10,10,0
421,37.0,77,0.0,11,11,0
422,37.0,73,0.0,12,12,0
423,38.0,33,31.0,1,1,2
424,38.0,71,27.0,2,2,2
425,38.0,56,23.0,3,3,1
426,38.0,78,19.0,4,4,0
427,38.0,54,16.0,5,5,1
428,38.0,6,15.0,6,6,0
429,38.0,52,0.0,7,7,0
430,38.0,80,0.0,8,8,0
431,38.0,8,0.0,9,9,0
432,38.0,79,0.0,10,10,0
433,38.0,55,0.0,11,11,0
434,38.0,81,0.0,12,12,0
435,38.0,73,0.0,13,13,0
436,38.0,77,0.0,14,14,0
437,39.0,33,37.0,1,1,3
438,39.0,71,27.0,2,2,2
439,39.0,56,25.0,3,3,1
440,39.0,78,19.0,4,4,0
441,39.0,6,18.0,5,5,0
442,39.0,54,17.0,6,6,1
443,39.0,52,0.0,7,7,0
444,39.0,79,0.0,8,8,0
445,39.0,80,0.0,9,9,0
446,39.0,8,0.0,10,10,0
447,39.0,55,0.0,11,11,0
448,39.0,81,0.0,12,12,0
449,39.0,73,0.0,13,13,0
450,39.0,77,0.0,14,14,0
451,39.0,72,0.0,15,15,0
452,39.0,82,0.0,16,16,0
453,39.0,88,0.0,17,17,0
454,40.0,33,39.0,1,1,3
455,40.0,71,36.0,2,2,3
456,40.0,56,27.0,3,3,1
457,40.0,78,19.0,4,4,0
458,40.0,54,18.0,5,5,1
459,40.0,6,18.0,6,6,0
460,40.0,81,3.0,7,7,0
461,40.0,79,1.0,8,8,0
462,40.0,52,0.0,9,9,0
463,40.0,80,0.0,10,10,0
464,40.0,8,0.0,11,11,0
465,40.0,55,0.0,12,12,0
466,40.0,73,0.0,13,13,0
467,40.0,77,0.0,14,14,0
468,40.0,72,0.0,15,15,0
469,40.0,82,0.0,16,16,0
470,40.0,88,0.0,17,17,0
471,41.0,33,42.0,1,1,4
472,41.0,71,36.0,2,2,3
473,41.0,56,29.0,3,3,1
474,41.0,78,19.0,4,4,0
475,41.0,54,18.0,5,5,1
476,41.0,6,18.0,6,6,0
477,41.0,81,6.0,7,7,0
478,41.0,79,1.0,8,8,0
479,41.0,52,0.0,9,9,0
480,41.0,80,0.0,10,10,0
481,41.0,8,0.0,11,11,0
482,41.0,83,0.0,12,12,0
483,41.0,84,0.0,13,13,0
484,41.0,55,0.0,14,14,0
485,41.0,73,0.0,15,15,0
486,41.0,77,0.0,16,16,0
487,41.0,72,0.0,17,17,0
488,41.0,82,0.0,18,18,0
489,41.0,88,0.0,19,19,0
490,42.0,33,9.0,1,1,1
491,42.0,56,4.0,2,2,0
492,42.0,6,3.0,3,3,0
493,42.0,71,1.0,4,4,0
494,42.0,79,0.0,5,5,0
495,42.0,78,0.0,6,6,0
496,42.0,81,0.0,7,7,0
497,42.0,85,0.0,8,8,0
498,42.0,86,0.0,9,9,0
499,42.0,82,0.0,10,10,0
500,42.0,54,0.0,11,11,0
501,43.0,33,12.0,1,1,1
502,43.0,71,10.0,2,2,1
503,43.0,56,10.0,3,3,0
504,43.0,81,4.0,4,4,0
505,43.0,6,3.0,5,5,0
506,43.0,54,1.0,6,6,0
507,43.0,86,0.0,7,7,0
508,43.0,79,0.0,8,8,0
509,43.0,78,0.0,9,9,0
510,43.0,85,0.0,10,10,0
511,43.0,87,0.0,11,11,0
512,43.0,82,0.0,12,12,0
513,44.0,71,19.0,1,1,2
514,44.0,33,14.0,2,2,1
515,44.0,56,10.0,3,3,0
516,44.0,81,10.0,4,4,0
517,44.0,6,7.0,5,5,0
518,44.0,87,3.0,6,6,0
519,44.0,54,1.0,7,7,0
520,44.0,79,0.0,8,8,0
521,44.0,86,0.0,9,9,0
522,44.0,78,0.0,10,10,0
523,44.0,85,0.0,11,11,0
524,44.0,82,0.0,12,12,0
525,45.0,71,28.0,1,1,3
526,45.0,56,16.0,2,2,0
527,45.0,33,14.0,3,3,1
528,45.0,81,13.0,4,4,0
529,45.0,6,7.0,5,5,0
530,45.0,87,3.0,6,6,0
531,45.0,79,1.0,7,7,0
532,45.0,54,1.0,8,8,0
533,45.0,78,0.0,9,9,0
534,45.0,86,0.0,10,10,0
535,45.0,85,0.0,11,11,0
536,45.0,82,0.0,12,12,0
537,46.0,71,37.0,1,1,4
538,46.0,33,18.0,2,2,1
539,46.0,56,16.0,3,3,0
540,46.0,81,13.0,4,4,0
541,46.0,6,13.0,5,5,0
542,46.0,87,3.0,6,6,0
543,46.0,79,2.0,7,7,0
544,46.0,54,1.0,8,8,0
545,46.0,78,0.0,9,9,0
546,46.0,86,0.0,10,10,0
547,46.0,85,0.0,11,11,0
548,46.0,73,0.0,12,12,0
549,46.0,82,0.0,13,13,0
550,47.0,71,43.0,1,1,4
551,47.0,33,22.0,2,2,1
552,47.0,6,22.0,3,3,1
553,47.0,56,17.0,4,4,0
554,47.0,81,13.0,5,5,0
555,47.0,54,4.0,6,6,0
556,47.0,79,4.0,7,7,0
557,47.0,87,3.0,8,8,0
558,47.0,78,0.0,9,9,0
559,47.0,86,0.0,10,10,0
560,47.0,85,0.0,11,11,0
561,47.0,73,0.0,12,12,0
562,47.0,82,0.0,13,13,0
563,47.0,88,0.0,14,14,0
564,48.0,71,51.0,1,1,5
565,48.0,33,28.0,2,2,1
566,48.0,6,22.0,3,3,1
567,48.0,56,21.0,4,4,0
568,48.0,81,15.0,5,5,0
569,48.0,87,6.0,6,6,0
570,48.0,54,4.0,7,7,0
571,48.0,79,4.0,8,8,0
572,48.0,78,0.0,9,9,0
573,48.0,86,0.0,10,10,0
574,48.0,85,0.0,11,11,0
575,48.0,73,0.0,12,12,0
576,48.0,82,0.0,13,13,0
577,48.0,57,0.0,14,14,0
578,48.0,88,0.0,15,15,0
579,48.0,89,0.0,16,16,0
580,48.0,76,0.0,17,17,0
581,,71,51.0,1,1,5
582,,33,35.0,2,2,2
583,,6,24.0,3,3,1
584,,56,21.0,4,4,0
585,,81,18.0,5,5,0
586,,87,6.0,6,6,0
587,,54,5.0,7,7,0
588,,79,4.0,8,8,0
589,,78,0.0,9,9,0
590,,90,0.0,10,10,0
591,,86,0.0,11,11,0
592,,85,0.0,12,12,0
593,,73,0.0,13,13,0
594,,82,0.0,14,14,0
595,,57,0.0,15,15,0
596,,88,0.0,16,16,0
597,,89,0.0,17,17,0
598,,76,0.0,18,18,0
599,,71,54.0,1,1,6
600,,33,36.0,2,2,2
601,,6,24.0,3,3,1
602,,81,24.0,4,4,0
603,,56,23.0,5,5,0
604,,87,6.0,6,6,0
605,,54,5.0,7,7,0
606,,79,4.0,8,8,0
607,,78,0.0,9,9,0
608,,90,0.0,10,10,0
609,,86,0.0,11,11,0
610,,85,0.0,12,12,0
611,,73,0.0,13,13,0
612,,82,0.0,14,14,0
613,,55,0.0,15,15,0
614,,57,0.0,16,16,0
615,,88,0.0,17,17,0
616,,89,0.0,18,18,0
617,,76,0.0,19,19,0
618,,71,54.0,1,1,7
619,,33,36.0,2,2,2
620,,81,28.0,3,3,0
621,,6,26.0,4,4,1
622,,56,25.0,5,5,0
623,,87,6.0,6,6,0
624,,54,5.0,7,7,0
625,,79,4.0,8,8,0
626,,78,0.0,9,9,0
627,,90,0.0,10,10,0
628,,86,0.0,11,11,0
629,,85,0.0,12,12,0
630,,83,0.0,13,13,0
631,,57,0.0,14,14,0
632,,91,0.0,15,15,0
633,,1,0.0,16,16,0
634,,73,0.0,17,17,0
635,,82,0.0,18,18,0
636,,55,0.0,19,19,0
637,,88,0.0,20,20,0
638,,89,0.0,21,21,0
639,,76,0.0,22,22,0
640,49.0,33,9.0,1,1,1
641,49.0,71,4.0,2,2,0
642,49.0,56,2.0,3,3,0
643,49.0,79,1.0,4,4,0
644,49.0,92,0.0,5,5,0
645,49.0,6,0.0,6,6,0
646,49.0,87,0.0,7,7,0
647,49.0,86,0.0,8,8,0
648,50.0,71,13.0,1,1,1
649,50.0,33,12.0,2,2,1
650,50.0,6,6.0,3,3,0
651,50.0,79,3.0,4,4,0
652,50.0,56,2.0,5,5,0
653,50.0,92,1.0,6,6,0
654,50.0,93,0.0,7,7,0
655,50.0,87,0.0,8,8,0
656,50.0,54,0.0,9,9,0
657,50.0,86,0.0,10,10,0
658,51.0,71,22.0,1,1,2
659,51.0,33,15.0,2,2,1
660,51.0,56,8.0,3,3,0
661,51.0,6,6.0,4,4,0
662,51.0,92,5.0,5,5,0
663,51.0,79,3.0,6,6,0
664,51.0,87,0.0,7,7,0
665,51.0,93,0.0,8,8,0
666,51.0,86,0.0,9,9,0
667,51.0,54,0.0,10,10,0
668,52.0,71,25.0,1,1,2
669,52.0,33,21.0,2,2,1
670,52.0,92,14.0,3,3,1
671,52.0,56,9.0,4,4,0
672,52.0,6,6.0,5,5,0
673,52.0,79,3.0,6,6,0
674,52.0,87,0.0,7,7,0
675,52.0,93,0.0,8,8,0
676,52.0,86,0.0,9,9,0
677,52.0,54,0.0,10,10,0
678,53.0,71,34.0,1,1,3
679,53.0,33,27.0,2,2,1
680,53.0,92,17.0,3,3,1
681,53.0,6,10.0,4,4,0
682,53.0,56,10.0,5,5,0
683,53.0,79,3.0,6,6,0
684,53.0,87,0.0,7,7,0
685,53.0,93,0.0,8,8,0
686,53.0,86,0.0,9,9,0
687,53.0,54,0.0,10,10,0
688,53.0,94,0.0,11,11,0
689,54.0,71,34.0,1,1,3
690,54.0,33,33.0,2,2,1
691,54.0,6,19.0,3,3,1
692,54.0,92,17.0,4,4,1
693,54.0,56,10.0,5,5,0
694,54.0,93,3.0,6,6,0
695,54.0,79,3.0,7,7,0
696,54.0,87,0.0,8,8,0
697,54.0,95,0.0,9,9,0
698,54.0,86,0.0,10,10,0
699,54.0,54,0.0,11,11,0
700,54.0,94,0.0,12,12,0
701,55.0,33,36.0,1,1,1
702,55.0,71,34.0,2,2,3
703,55.0,6,28.0,3,3,2
704,55.0,92,21.0,4,4,1
705,55.0,56,10.0,5,5,0
706,55.0,93,3.0,6,6,0
707,55.0,79,3.0,7,7,0
708,55.0,87,2.0,8,8,0
709,55.0,95,0.0,9,9,0
710,55.0,86,0.0,10,10,0
711,55.0,54,0.0,11,11,0
712,55.0,94,0.0,12,12,0
713,56.0,6,37.0,1,1,3
714,56.0,33,36.0,2,2,1
715,56.0,71,35.0,3,3,3
716,56.0,92,21.0,4,4,1
717,56.0,56,16.0,5,5,0
718,56.0,87,4.0,6,6,0
719,56.0,93,3.0,7,7,0
720,56.0,79,3.0,8,8,0
721,56.0,95,0.0,9,9,0
722,56.0,86,0.0,10,10,0
723,56.0,96,0.0,11,11,0
724,56.0,54,0.0,12,12,0
725,56.0,94,0.0,13,13,0
726,,6,43.0,1,1,3
727,,33,42.0,2,2,2
728,,71,36.0,3,3,3
729,,92,21.0,4,4,1
730,,56,16.0,5,5,0
731,,93,7.0,6,6,0
732,,87,5.0,7,7,0
733,,79,3.0,8,8,0
734,,95,0.0,9,9,0
735,,86,0.0,10,10,0
736,,96,0.0,11,11,0
737,,54,0.0,12,12,0
738,,94,0.0,13,13,0
739,,6,45.0,1,1,3
740,,33,42.0,2,2,2
741,,71,37.0,3,3,3
742,,92,30.0,4,4,2
743,,56,16.0,5,5,0
744,,93,7.0,6,6,0
745,,87,5.0,7,7,0
746,,79,3.0,8,8,0
747,,95,0.0,9,9,0
748,,86,0.0,10,10,0
749,,96,0.0,11,11,0
750,,54,0.0,12,12,0
751,,94,0.0,13,13,0
752,57.0,71,9.0,1,1,1
753,57.0,6,6.0,2,2,0
754,57.0,33,4.0,3,3,0
755,57.0,56,2.0,4,4,0
756,57.0,93,0.0,5,5,0
757,57.0,92,0.0,6,6,0
758,57.0,94,0.0,7,7,0
759,57.0,1,0.0,8,8,0
760,57.0,79,0.0,9,9,0
761,57.0,97,0.0,10,10,0
762,57.0,98,0.0,11,11,0
763,57.0,99,0.0,12,12,0
764,57.0,91,0.0,13,13,0
765,57.0,100,0.0,14,14,0
766,57.0,57,0.0,15,15,0
767,58.0,33,13.0,1,1,1
768,58.0,6,12.0,2,2,0
769,58.0,71,9.0,3,3,1
770,58.0,56,4.0,4,4,0
771,58.0,93,1.0,5,5,0
772,58.0,92,0.0,6,6,0
773,58.0,94,0.0,7,7,0
774,58.0,1,0.0,8,8,0
775,58.0,79,0.0,9,9,0
776,58.0,97,0.0,10,10,0
777,58.0,95,0.0,11,11,0
778,58.0,98,0.0,12,12,0
779,58.0,99,0.0,13,13,0
780,58.0,91,0.0,14,14,0
781,58.0,100,0.0,15,15,0
782,58.0,57,0.0,16,16,0
783,59.0,33,19.0,1,1,1
784,59.0,71,18.0,2,2,2
785,59.0,6,12.0,3,3,0
786,59.0,56,8.0,4,4,0
787,59.0,92,3.0,5,5,0
788,59.0,93,1.0,6,6,0
789,59.0,95,1.0,7,7,0
790,59.0,94,0.0,8,8,0
791,59.0,1,0.0,9,9,0
792,59.0,79,0.0,10,10,0
793,59.0,97,0.0,11,11,0
794,59.0,98,0.0,12,12,0
795,59.0,99,0.0,13,13,0
796,59.0,91,0.0,14,14,0
797,59.0,100,0.0,15,15,0
798,59.0,57,0.0,16,16,0
799,60.0,71,27.0,1,1,3
800,60.0,33,25.0,2,2,1
801,60.0,6,16.0,3,3,0
