qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
66,551,641,160,23,14,1:24.078,,
67,551,614,160,24,15,1:24.276,,
68,551,687,173,9,16,1:24.472,,
69,551,669,145,25,17,1:24.678,,
70,551,679,164,20,18,1:24.852,,
71,551,702,145,26,19,1:24.996,,
72,551,664,55,12,20,1:25.114,,
73,551,606,172,15,21,1:25.234,,
74,551,697,55,11,22,1:25.295,,
75,551,705,164,19,23,1:25.991,,
76,551,676,177,31,24,1:26.817,,
77,551,671,178,34,25,1:27.143,,
78,551,706,177,32,26,1:27.584,,
79,551,688,178,33,27,1:27.881,,
80,551,694,172,14,28,,,
81,553,683,162,5,1,1:21.908,,
82,553,691,137,0,2,1:22.559,,
83,553,677,114,7,3,1:22.660,,
84,553,673,162,6,4,1:22.983,,
85,553,694,172,14,5,1:23.594,,
86,553,667,6,27,6,1:23.700,,
87,553,640,6,28,7,1:23.715,,
88,553,633,114,8,8,1:23.763,,
89,553,707,137,2,9,1:23.782,,
90,553,686,120,3,10,1:23.969,,
91,553,678,120,4,11,1:23.981,,
92,553,704,176,30,12,1:24.254,,
93,553,699,172,15,13,1:24.930,,
94,553,614,160,24,14,1:24.996,,
95,553,675,173,10,15,1:25.018,,
96,553,679,164,20,16,1:25.050,,
97,553,705,164,19,17,1:25.161,,
98,553,641,160,23,18,1:25.247,,
99,553,702,145,26,19,1:25.577,,
100,553,669,145,25,20,1:25.766,,
101,553,687,173,9,21,1:26.084,,
102,553,664,55,12,22,1:26.397,,
103,553,684,55,11,23,1:27.685,,
104,553,676,177,31,24,1:28.151,,
105,553,671,178,34,25,1:28.873,,
106,553,688,178,33,26,1:30.657,,
107,554,683,162,5,1,1:26.178,,
108,554,667,6,27,2,1:26.277,,
109,554,640,6,28,3,1:27.059,,
110,554,691,137,0,4,1:27.094,,
111,554,707,137,2,5,1:27.211,,
112,554,694,172,14,6,1:27.554,,
113,554,677,114,7,7,1:27.616,,
114,554,699,172,15,8,1:27.780,,
115,554,686,120,3,9,1:27.827,,
116,554,704,176,30,10,1:27.977,,
117,554,675,173,10,11,1:27.989,,
118,554,633,114,8,12,1:28.197,,
119,554,678,120,4,13,1:28.579,,
120,554,606,176,29,14,1:28.694,,
121,554,641,160,23,15,1:28.847,,
122,554,687,173,9,16,1:28.882,,
123,554,664,55,12,17,1:28.889,,
124,554,614,160,24,18,1:28.903,,
125,554,702,145,26,19,1:28.950,,
126,554,673,162,6,20,1:28.993,,
127,554,679,164,20,21,1:29.039,,
128,554,705,164,19,22,1:29.403,,
129,554,684,55,11,23,1:30.160,,
130,554,669,145,25,24,1:30.493,,
131,554,676,177,31,25,1:31.632,,
132,554,671,178,34,26,1:32.838,,
133,555,691,137,0,1,1:16.282,,
134,555,603,137,2,2,1:16.359,,
135,555,683,162,5,3,1:16.707,,
136,555,667,6,27,4,1:16.954,,
137,555,640,6,28,5,1:16.959,,
138,555,699,172,15,6,1:17.441,,
139,555,694,172,14,7,1:17.482,,
140,555,703,162,6,8,1:17.645,,
141,555,677,114,7,9,1:17.768,,
142,555,704,176,30,10,1:17.830,,
143,555,606,176,29,11,1:17.866,,
144,555,633,114,8,12,1:18.031,,
145,555,702,145,26,13,1:18.044,,
146,555,686,120,3,14,1:18.192,,
147,555,669,145,25,15,1:18.236,,
148,555,641,160,23,16,1:18.248,,
149,555,678,120,4,17,1:18.381,,
150,555,687,173,9,18,1:18.568,,
151,555,664,55,12,19,1:18.715,,
152,555,679,164,20,20,1:18.811,,
153,555,614,160,24,21,1:18.890,,
154,555,675,173,10,22,1:18.936,,
155,555,684,55,11,23,1:19.066,,
156,555,676,177,31,24,1:19.771,,
157,555,705,164,19,25,1:19.863,,
158,555,701,177,32,26,1:21.829,,
159,556,691,137,0,1,1:24.960,,
160,556,683,162,5,2,1:24.963,,
161,556,640,6,28,3,1:24.980,,
162,556,667,6,27,4,1:25.541,,
163,556,677,114,7,5,1:26.268,,
164,556,694,172,14,6,1:26.271,,
165,556,707,137,2,7,1:26.337,,
166,556,686,120,3,8,1:26.414,,
167,556,633,114,8,9,1:26.768,,
168,556,703,162,6,10,1:26.841,,
169,556,678,120,4,11,1:26.920,,
170,556,699,172,15,12,1:27.065,,
171,556,704,176,30,13,1:27.284,,
172,556,641,160,23,14,1:27.522,,
173,556,702,145,26,15,1:27.785,,
174,556,675,173,10,16,1:27.886,,
175,556,614,160,24,17,1:28.100,,
176,556,606,176,29,18,1:28.212,,
177,556,684,55,11,19,1:28.225,,
178,556,687,173,9,20,1:28.231,,
179,556,664,55,12,21,1:28.340,,
180,556,679,164,20,22,1:28.519,,
181,556,669,145,25,23,1:28.955,,
182,556,705,164,19,24,1:29.299,,
183,556,676,177,31,25,1:30.690,,
184,556,701,177,32,26,1:30.722,,
185,557,640,6,28,1,1:43.582,,
186,557,667,6,27,2,1:44.012,,
187,557,691,137,0,3,1:44.026,,
188,557,683,162,5,4,1:44.268,,
189,557,686,120,3,5,1:44.718,,
190,557,707,137,2,6,1:45.146,,
191,557,678,120,4,7,1:45.474,,
192,557,677,114,7,8,1:45.487,,
193,557,704,176,30,9,1:45.893,,
194,557,699,172,15,10,1:45.911,,
195,557,694,172,14,11,1:45.939,,
196,557,702,145,26,12,1:46.185,,
197,557,633,114,8,13,1:46.218,,
198,557,669,145,25,14,1:46.290,,
199,557,664,55,12,15,1:46.630,,
200,557,675,173,10,16,1:46.817,,
201,557,687,173,9,17,1:47.102,,
202,557,606,176,29,18,1:47.235,,
203,557,703,162,6,19,1:47.316,,
204,557,641,160,23,20,1:47.402,,
205,557,684,55,11,21,1:47.425,,
206,557,679,164,20,22,1:48.229,,
207,557,614,160,24,23,1:48.295,,
208,557,705,164,19,24,1:48.681,,
209,557,676,177,31,25,1:48.870,,
210,557,701,177,32,26,1:49.204,,
211,558,683,162,5,1,1:18.258,,
212,558,691,137,0,2,1:18.824,,
213,558,707,137,2,3,1:20.205,,
214,558,640,6,28,4,1:20.219,,
215,558,686,120,3,5,1:20.232,,
216,558,633,114,8,6,1:20.629,,
217,558,699,172,15,7,1:20.698,,
218,558,704,176,30,8,1:20.858,,
219,558,702,145,26,9,1:20.929,,
220,558,694,172,14,10,1:20.952,,
221,558,678,120,4,11,1:20.984,,
222,558,703,162,6,12,1:21.141,,
223,558,667,6,27,13,1:21.206,,
224,558,635,114,7,14,1:21.498,,
225,558,641,160,23,15,1:21.837,,
226,558,687,173,9,16,1:21.873,,
227,558,606,176,29,17,1:21.946,,
228,558,669,145,25,18,1:22.038,,
229,558,675,173,10,19,1:22.311,,
230,558,614,160,24,20,1:22.379,,
231,558,679,164,20,21,1:22.487,,
232,558,684,55,11,22,1:22.513,,
233,558,676,177,31,23,1:22.614,,
234,558,664,55,12,24,1:22.705,,
235,558,705,164,19,25,1:22.899,,
236,558,701,177,32,26,1:24.191,,
237,559,694,172,14,1,2:21.163,,
238,559,683,162,5,2,2:21.494,,
239,559,691,137,0,3,2:21.681,,
240,559,699,172,15,4,2:22.074,,
241,559,667,6,27,5,2:22.202,,
242,559,703,162,6,6,2:22.218,,
243,559,707,137,2,7,2:22.359,,
244,559,677,114,7,8,2:22.441,,
245,559,704,176,30,9,2:22.634,,
246,559,641,160,23,10,2:23.326,,
247,559,640,6,28,11,2:23.895,,
248,559,678,120,4,12,2:24.048,,
249,559,633,114,8,13,2:24.117,,
250,559,675,173,10,14,2:25.114,,
251,559,606,176,29,15,2:25.695,,
252,559,669,145,25,16,2:26.044,,
253,559,702,145,26,17,2:26.079,,
254,559,614,160,24,18,2:26.738,,
255,559,635,164,19,19,2:26.901,,
256,559,664,55,12,20,2:27.155,,
257,559,676,177,31,21,2:27.212,,
258,559,679,164,20,22,2:28.156,,
259,559,686,120,3,23,2:28.979,,
260,559,687,173,9,24,2:30.931,,
261,559,701,177,32,25,2:31.755,,
262,559,709,55,11,26,2:33.885,,
263,560,667,6,27,1,1:23.844,,
264,560,640,6,28,2,1:23.978,,
265,560,691,137,0,3,1:24.158,,
266,560,664,55,12,4,1:24.374,,
267,560,707,137,2,5,1:24.502,,
268,560,702,145,26,6,1:25.455,,
269,560,677,114,7,7,1:25.528,,
270,560,606,176,29,8,1:25.540,,
271,560,699,172,15,9,1:25.568,,
272,560,703,162,6,10,1:25.618,,
273,560,704,176,30,11,1:25.628,,
274,560,669,145,25,12,1:25.718,,
275,560,684,55,11,13,1:25.733,,
276,560,686,120,3,14,1:25.889,,
277,560,633,114,8,15,1:25.933,,
278,560,694,172,14,16,1:25.946,,
279,560,675,173,10,17,1:26.002,,
280,560,641,160,23,18,1:26.056,,
281,560,687,173,9,19,1:26.337,,
282,560,673,162,5,20,1:26.384,,
283,560,678,120,4,21,1:26.574,,
284,560,614,160,24,22,1:26.832,,
285,560,655,164,19,23,1:27.846,,
286,560,679,164,20,24,1:27.894,,
287,560,701,177,32,25,1:28.353,,
288,560,676,177,31,26,1:28.619,,
289,561,640,6,28,1,1:20.608,,
290,561,691,137,0,2,1:20.766,,
291,561,707,137,2,3,1:21.033,,
292,561,677,114,7,4,1:21.251,,
293,561,667,6,27,5,1:21.517,,
294,561,686,120,3,6,1:21.590,,
295,561,633,114,8,7,1:21.656,,
296,561,694,172,14,8,1:21.796,,
297,561,704,176,30,9,1:21.921,,
298,561,703,162,6,10,1:22.000,,
299,561,687,173,9,11,1:22.132,,
300,561,678,120,4,12,1:22.288,,
301,561,699,172,15,13,1:22.294,,
302,561,673,162,5,14,1:22.369,,
303,561,702,145,26,15,1:22.672,,
304,561,675,173,10,16,1:22.756,,
305,561,606,176,29,17,1:22.885,,
306,561,641,160,23,18,1:23.243,,
307,561,614,160,24,19,1:23.364,,
308,561,664,55,12,20,1:23.408,,
309,561,669,145,25,21,1:23.699,,
310,561,679,164,20,22,1:24.192,,
311,561,655,164,19,23,1:24.438,,
312,561,676,177,31,24,1:24.514,,
313,561,709,55,11,25,1:25.313,,
314,561,701,177,32,26,1:25.649,,
315,562,683,162,5,1,1:22.762,,
316,562,691,137,0,2,1:22.892,,
317,562,603,137,2,3,1:23.392,,
318,562,704,176,30,4,1:23.431,,
319,562,694,172,14,5,1:23.455,,
320,562,640,6,28,6,1:23.677,,
321,562,664,145,25,7,1:24.040,,
322,562,675,173,10,8,1:24.079,,
323,562,677,114,7,9,1:24.122,,
324,562,699,172,15,10,1:24.157,,
325,562,702,145,26,11,1:24.432,,
326,562,703,162,6,12,1:24.643,,
327,562,686,120,3,13,1:24.738,,
328,562,678,120,4,14,1:24.770,,
329,562,633,114,8,15,1:25.110,,
330,562,667,6,27,16,1:25.182,,
331,562,641,160,23,17,1:25.294,,
332,562,606,176,29,18,1:25.407,,
333,562,687,173,9,19,1:25.427,,
334,562,614,160,24,20,1:25.511,,
335,562,684,55,12,21,1:25.557,,
336,562,669,55,11,22,1:25.595,,
337,562,679,164,20,23,1:26.272,,
338,562,711,164,19,24,1:27.168,,
339,562,676,177,31,25,1:27.201,,
340,562,710,177,32,26,1:27.976,,
341,563,683,162,5,1,1:37.209,,
342,563,691,137,0,2,1:37.696,,
343,563,704,176,30,3,1:37.742,,
344,563,603,137,2,4,1:37.768,,
345,563,664,162,6,5,1:37.828,,
346,563,699,172,15,6,1:37.880,,
347,563,667,6,27,7,1:37.907,,
348,563,677,114,7,8,1:37.998,,
349,563,633,114,8,9,1:38.076,,
350,563,694,172,14,10,1:38.533,,
351,563,640,6,28,11,1:38.570,,
352,563,675,173,10,12,1:39.030,,
353,563,678,120,4,13,1:39.266,,
354,563,686,120,3,14,1:39.462,,
355,563,673,176,29,15,1:39.483,,
356,563,641,160,23,16,1:39.548,,
357,563,684,55,12,17,1:39.721,,
358,563,687,173,9,18,1:39.868,,
359,563,702,145,26,19,1:40.042,,
360,563,713,145,25,20,1:40.577,,
361,563,614,160,24,21,1:40.652,,
362,563,679,164,20,22,1:40.978,,
363,563,711,164,19,23,1:40.990,,
364,563,676,177,31,24,1:41.659,,
365,563,712,55,11,25,1:41.805,,
366,563,714,177,32,26,1:45.004,,
367,564,603,137,2,1,1:16.179,,
368,564,683,162,5,2,1:16.197,,
369,564,691,137,0,3,1:16.830,,
370,564,677,114,7,4,1:16.992,,
371,564,694,172,14,5,1:17.537,,
372,564,699,172,15,6,1:17.667,,
373,564,664,162,6,7,1:17.727,,
374,564,667,6,27,8,1:17.801,,
375,564,633,114,8,9,1:17.950,,
376,564,704,176,30,10,1:17.962,,
377,564,640,6,28,11,1:18.070,,
378,564,702,145,26,12,1:18.072,,
379,564,678,120,4,13,1:18.237,,
380,564,684,55,12,14,1:18.331,,
381,564,686,120,3,15,1:18.411,,
382,564,614,160,24,16,1:18.755,,
383,564,673,176,29,17,1:18.806,,
384,564,641,160,23,18,1:18.957,,
385,564,687,173,9,19,1:19.061,,
386,564,713,145,25,20,1:19.153,,
387,564,675,173,10,21,1:19.610,,
388,564,712,55,11,22,1:19.844,,
389,564,711,164,19,23,1:20.145,,
390,564,676,177,31,24,1:20.442,,
391,564,715,164,20,25,1:22.422,,
392,564,710,177,32,26,1:22.529,,
393,565,691,137,5,1,1:20.081,,
394,565,683,162,1,2,1:20.382,,
395,565,707,137,6,3,1:20.422,,
396,565,664,162,2,4,1:20.888,,
397,565,640,6,28,5,1:20.906,,
398,565,667,6,27,6,1:21.041,,
399,565,677,114,8,7,1:21.399,,
400,565,699,172,15,8,1:21.749,,
401,565,678,114,7,9,1:21.779,,
402,565,702,145,26,10,1:21.914,,
403,565,686,120,3,11,1:22.325,,
404,565,712,120,4,12,1:22.416,,
405,565,675,173,9,13,1:22.468,,
406,565,704,176,30,14,1:22.872,,
407,565,662,145,25,15,1:22.971,,
408,565,694,172,14,16,1:22.975,,
409,565,641,160,23,17,1:24.383,,
410,565,695,160,24,18,1:24.443,,
411,565,685,176,29,19,1:24.723,,
412,565,671,178,16,20,1:25.127,,
413,565,714,173,10,21,1:25.225,,
414,565,708,178,17,22,1:25.886,,
415,565,624,179,22,23,1:26.269,,
416,565,703,177,12,24,1:27.323,,
417,565,716,179,21,25,1:27.792,,
418,565,710,177,11,26,1:28.106,,
419,566,707,137,6,1,1:53.241,,
420,566,691,137,5,2,1:54.057,,
421,566,683,162,1,3,1:54.272,,
422,566,699,172,15,4,1:54.381,,
423,566,677,114,8,5,1:54.529,,
424,566,667,6,27,6,1:54.637,,
425,566,712,120,4,7,1:54.757,,
426,566,640,6,28,8,1:55.276,,
427,566,704,176,30,9,1:55.583,,
428,566,694,172,14,10,1:56.114,,
429,566,664,162,6,11,1:57.068,,
430,566,675,173,9,12,1:57.092,,
431,566,695,160,24,13,1:57.167,,
432,566,703,177,12,14,1:57.231,,
433,566,686,120,3,15,1:57.484,,
434,566,641,160,23,16,1:58.066,,
435,566,678,114,7,17,1:58.660,,
436,566,702,145,26,18,1:58.824,,
437,566,662,145,25,19,1:58.882,,
438,566,710,177,11,20,1:59.539,,
439,566,685,176,29,21,2:00.751,,
440,566,708,178,17,22,2:01.763,,
441,566,671,178,16,23,2:04.050,,
442,566,624,179,22,24,2:04.481,,
443,566,716,179,21,25,2:05.932,,
444,566,714,173,10,26,2:07.298,,
445,567,683,162,1,1,1:27.274,,
446,567,640,6,28,2,1:27.282,,
447,567,707,137,6,3,1:27.459,,
448,567,691,137,5,4,1:27.512,,
449,567,667,6,27,5,1:27.813,,
450,567,677,114,8,6,1:28.343,,
451,567,699,172,15,7,1:28.516,,
452,567,664,162,6,8,1:29.350,,
453,567,603,114,7,9,1:29.517,,
454,567,694,172,14,10,1:29.551,,
455,567,675,173,9,11,1:29.582,,
456,567,702,145,26,12,1:30.760,,
457,567,712,120,4,13,1:31.035,,
458,567,704,176,30,14,1:31.358,,
459,567,686,120,3,15,1:31.630,,
460,567,662,145,25,16,1:31.913,,
461,567,703,177,12,17,1:32.156,,
462,567,641,160,23,18,1:32.445,,
463,567,714,173,10,19,1:32.710,,
464,567,695,160,24,20,1:33.071,,
465,567,685,176,29,21,1:33.494,,
466,567,671,178,16,22,1:33.892,,
467,567,710,177,11,23,1:33.965,,
468,567,708,178,17,24,1:35.169,,
469,567,624,179,22,25,1:36.065,,
470,567,716,179,21,26,1:36.624,,
471,568,683,162,1,1,1:21.452,,
472,568,667,6,27,2,1:22.052,,
473,568,640,6,28,3,1:22.071,,
474,568,707,137,6,4,1:22.332,,
475,568,691,137,5,5,1:22.349,,
476,568,699,172,15,6,1:23.352,,
477,568,664,162,2,7,1:23.536,,
478,568,694,172,14,8,1:23.705,,
479,568,677,114,8,9,1:23.833,,
480,568,603,114,7,10,1:23.927,,
481,568,633,145,25,11,1:24.727,,
482,568,704,176,30,12,1:24.802,,
483,568,712,120,4,13,1:24.971,,
484,568,675,173,9,14,1:25.053,,
485,568,702,145,26,15,1:25.204,,
486,568,703,177,12,16,1:25.827,,
487,568,686,120,3,17,1:25.946,,
488,568,714,173,10,18,1:26.059,,
489,568,641,160,23,19,1:26.619,,
490,568,685,176,29,20,1:27.007,,
491,568,695,160,24,21,1:27.345,,
492,568,710,177,11,22,1:27.575,,
493,568,708,178,17,23,1:28.094,,
494,568,671,178,16,24,1:28.598,,
495,568,624,179,22,25,1:28.963,,
496,568,716,179,21,26,1:29.540,,
497,569,691,137,5,1,1:21.952,,
498,569,683,162,1,2,1:22.742,,
499,569,707,137,6,3,1:23.109,,
500,569,640,6,28,4,1:23.220,,
501,569,667,6,27,5,1:23.754,,
502,569,677,114,8,6,1:23.857,,
503,569,664,162,2,7,1:23.885,,
504,569,633,145,26,8,1:24.447,,
505,569,699,172,15,9,1:24.857,,
506,569,678,114,7,10,1:24.933,,
507,569,694,172,14,11,1:25.081,,
508,569,702,145,26,12,1:25.125,,
509,569,675,173,9,13,1:25.447,,
510,569,704,176,30,14,1:25.661,,
511,569,686,120,3,15,1:25.808,,
512,569,695,160,24,16,1:25.969,,
513,569,712,120,4,17,1:26.473,,
514,569,641,160,23,18,1:26.913,,
515,569,717,176,29,19,1:27.145,,
516,569,710,177,11,20,1:28.337,,
517,569,671,178,16,21,1:29.039,,
518,569,716,179,21,22,1:29.244,,
519,569,703,177,12,23,1:29.391,,
520,569,624,179,22,24,1:29.608,,
521,569,708,178,17,25,1:30.149,,
522,569,714,173,10,26,1:31.542,,
523,570,683,162,1,1,1:27.661,,
524,570,691,137,5,2,1:28.039,,
525,570,707,137,6,3,1:28.091,,
526,570,640,6,28,4,1:28.189,,
527,570,667,6,27,5,1:28.474,,
528,570,664,162,2,6,1:28.498,,
529,570,677,114,8,7,1:28.910,,
530,570,699,172,15,8,1:29.021,,
531,570,694,172,14,9,1:29.171,,
532,570,678,114,7,10,1:29.641,,
533,570,702,145,26,11,1:29.809,,
534,570,704,176,30,12,1:30.017,,
535,570,675,173,9,13,1:30.159,,
536,570,633,145,25,14,1:30.255,,
537,570,712,120,4,15,1:30.657,,
538,570,686,120,3,16,1:31.382,,
539,570,641,160,23,17,1:31.445,,
540,570,717,176,29,18,1:31.838,,
541,570,695,160,24,19,1:31.853,,
542,570,671,178,16,20,1:32.841,,
543,570,708,178,17,21,1:32.894,,
544,570,714,173,10,22,1:32.995,,
545,570,624,179,22,23,1:34.000,,
546,570,716,179,21,24,1:34.982,,
547,571,691,137,5,1,1:17.225,,
548,571,683,162,1,2,1:17.512,,
549,571,707,137,6,3,1:17.925,,
550,571,667,6,27,4,1:18.761,,
551,571,694,172,14,5,1:18.810,,
552,571,702,145,26,6,1:19.047,,
553,571,640,6,28,7,1:19.051,,
554,571,677,114,8,8,1:19.238,,
555,571,633,145,25,9,1:19.384,,
556,571,664,162,2,10,1:19.555,,
557,571,699,172,15,11,1:19.845,,
558,571,704,176,30,12,1:20.309,,
559,571,678,114,7,13,1:20.527,,
560,571,712,120,4,14,1:20.796,,
561,571,717,176,29,15,1:20.943,,
562,571,675,173,9,16,1:21.076,,
563,571,695,160,24,17,1:21.323,,
564,571,714,173,10,18,1:21.894,,
565,571,686,120,3,19,1:21.930,,
566,571,641,160,23,20,1:22.104,,
567,571,708,178,17,21,1:23.466,,
568,571,671,178,16,22,1:23.647,,
569,571,716,179,21,23,1:24.184,,
570,571,624,179,22,24,1:24.865,,
571,572,691,137,5,1,1:28.124,,
572,572,683,162,1,2,1:28.397,,
573,572,707,137,6,3,1:28.947,,
574,572,640,6,28,4,1:29.657,,
575,572,664,162,2,5,1:29.867,,
576,572,667,6,27,6,1:29.874,,
577,572,699,172,15,7,1:30.083,,
578,572,677,114,8,8,1:30.140,,
579,572,694,172,14,9,1:30.354,,
580,572,678,114,7,10,1:30.453,,
581,572,633,145,25,11,1:30.946,,
582,572,704,176,30,12,1:31.602,,
583,572,702,145,26,13,1:31.842,,
584,572,686,120,3,14,1:32.087,,
585,572,641,160,23,15,1:32.259,,
586,572,717,176,29,16,1:33.166,,
587,572,718,173,9,17,1:34.154,,
588,572,695,160,24,18,1:34.556,,
589,572,714,173,10,19,1:35.323,,
590,572,716,179,21,20,1:36.023,,
591,572,671,178,16,21,1:36.076,,
592,572,624,179,22,22,1:36.651,,
593,572,712,120,3,23,1:48.639,,
594,572,708,178,17,24,1:52.398,,
595,573,691,137,5,1,1:44.385,,
596,573,683,162,1,2,1:44.465,,
597,573,707,137,6,3,1:44.540,,
598,573,640,6,28,4,1:45.553,,
599,573,694,172,14,5,1:45.765,,
600,573,699,172,15,6,1:45.846,,
601,573,677,114,8,7,1:45.849,,
602,573,678,114,7,8,1:46.221,,
603,573,664,162,2,9,1:46.315,,
604,573,667,6,27,10,1:46.356,,
605,573,704,176,30,11,1:46.801,,
606,573,702,145,26,12,1:47.372,,
607,573,712,120,4,13,1:47.507,,
608,573,717,176,29,14,1:47.636,,
609,573,718,173,9,15,1:48.093,,
610,573,695,160,24,16,1:49.302,,
611,573,686,120,3,17,1:49.402,,
612,573,662,145,25,18,1:49.716,,
613,573,714,173,10,19,1:49.892,,
614,573,641,160,23,20,1:49.990,,
615,573,716,179,21,21,1:52.961,,
616,573,624,179,22,22,1:53.405,,
617,573,708,178,17,23,1:53.492,,
618,573,719,178,16,24,1:54.625,,
619,574,691,137,5,1,1:16.982,,
620,574,707,137,6,2,1:17.366,,
621,574,683,162,1,3,1:17.558,,
622,574,640,6,28,4,1:18.059,,
623,574,677,114,8,5,1:18.363,,
624,574,667,6,27,6,1:18.968,,
625,574,699,172,15,7,1:19.499,,
626,574,633,145,25,8,1:19.748,,
627,574,664,162,2,9,1:20.072,,
628,574,702,145,26,10,1:20.160,,
629,574,704,176,30,11,1:20.413,,
630,574,695,160,24,12,1:20.543,,
631,574,678,114,7,13,1:20.640,,
632,574,694,172,14,14,1:20.902,,
633,574,697,160,23,15,1:21.156,,
634,574,712,120,4,16,1:21.624,,
635,574,686,120,3,17,1:21.702,,
636,574,714,173,10,18,1:22.081,,
637,574,717,176,29,19,1:22.161,,
638,574,718,173,9,20,1:23.275,,
639,574,624,179,22,21,1:24.351,,
640,574,708,178,17,22,1:24.371,,
641,574,716,179,21,23,1:24.695,,
642,574,719,178,16,24,1:26.570,,
643,575,640,6,28,1,1:54.392,,
644,575,667,6,27,2,1:54.631,,
645,575,677,114,8,3,1:55.435,,
646,575,664,162,2,4,1:56.085,,
647,575,707,137,6,5,1:56.254,,
648,575,678,114,7,6,1:56.622,,
649,575,699,172,15,7,1:57.001,,
650,575,691,137,5,8,1:57.768,,
651,575,702,145,26,9,1:58.021,,
652,575,704,176,30,10,1:58.148,,
653,575,712,120,4,11,1:58.224,,
654,575,694,172,14,12,1:58.293,,
655,575,633,145,26,13,1:58.314,,
656,575,717,176,29,14,1:58.356,,
657,575,686,120,3,15,1:58.551,,
658,575,683,162,1,16,1:59.079,,
659,575,697,160,23,17,1:59.256,,
660,575,714,173,10,18,2:00.990,,
661,575,695,160,24,19,2:01.013,,
662,575,718,173,9,20,2:01.685,,
663,575,708,178,17,21,2:02.405,,
664,575,624,179,22,22,2:03.817,,
665,575,719,178,16,23,2:06.407,,
666,575,716,179,21,24,2:09.537,,
667,576,707,137,6,1,1:24.462,,
668,576,683,162,1,2,1:25.026,,
669,576,640,6,28,3,1:25.353,,
670,576,691,137,5,4,1:25.699,,
671,576,667,6,27,5,1:25.707,,
672,576,694,172,14,6,1:25.919,,
673,576,677,114,8,7,1:25.920,,
674,576,664,162,2,8,1:26.433,,
675,576,678,114,7,9,1:26.472,,
676,576,704,176,30,10,1:26.541,,
677,576,633,145,26,11,1:27.067,,
678,576,699,172,15,12,1:27.271,,
679,576,702,145,26,13,1:27.384,,
680,576,717,176,29,14,1:28.741,,
681,576,718,173,9,15,1:28.870,,
682,576,712,120,4,16,1:29.028,,
683,576,686,120,3,17,1:29.287,,
684,576,695,160,24,18,1:29.559,,
685,576,697,160,23,19,1:29.936,,
686,576,714,173,10,20,1:30.515,,
687,576,708,178,17,21,1:30.721,,
688,576,624,179,22,22,1:30.834,,
689,576,716,179,21,23,1:32.102,,
690,576,719,178,16,24,1:32.470,,
691,577,707,137,6,1,1:20.537,,
692,577,691,137,5,2,1:20.905,,
693,577,683,162,1,3,1:21.301,,
694,577,640,6,28,4,1:21.970,,
695,577,704,176,30,5,1:22.226,,
696,577,664,162,2,6,1:22.322,,
697,577,667,6,27,7,1:22.391,,
